# Language file for DOL
# Language used : ITALIAN
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:				Inglese
System.LanguagesName.French:				Francese
System.LanguagesName.German:				Tedesco
System.LanguagesName.Spanish:				Spagnolo
System.LanguagesName.Czech:					Cecoslovacco
System.LanguagesName.Italian:				Italiano

# SYSTEM
System.NoSense:								Non ha senso!
System.MustSelectTarget:					Devi selezionare un bersaglio!
System.ReleaseTimer:						Release Timer

# CRAFTING
# (All)
Crafting.CheckTool.FindAlchemyTable:			Devi trovare una alchemy table!
Crafting.CheckTool.FindForge:				Devi trovare una forge!
Crafting.CheckTool.FindLathe:				Devi trovare un lathe!
Crafting.CheckTool.FindPlaningTool:			Devi trovare un planing tool!
Crafting.CheckTool.FindSewingKit:			Devi trovare un sewing kit!
Crafting.CheckTool.FindSmithTool:			Devi trovare uno smith tool!
Crafting.CheckTool.FindSpellcraftKit:			Devi trovare uno spellcraft kit!
Crafting.CheckTool.NotHaveTools:			Non hai gli strumenti per creare il {0}.
Crafting.GainCraftingSkillPoints.RaiseArmorcraft:	Devi recarti dal tuo allenatore per aumentare ancora Armorcraft!
Crafting.GainCraftingSkillPoints.RaiseFletching:	Devi recarti dal tuo allenatore per aumentare ancora Fletching!
Crafting.GainCraftingSkillPoints.RaiseSpellcraft:	Devi recarti dal tuo allenatore per aumentare ancora Spellcraft!
Crafting.GainCraftingSkillPoints.RaiseTailoring:	Devi recarti dal tuo allenatore per aumentare ancora Tailoring!
Crafting.GainCraftingSkillPoints.RaiseWeaponcraft:	Devi recarti dal tuo allenatore per aumentare ancora Weaponcraft!

# /AbstractCraftingSkill
AbstractCraftingSkill.BuildCraftedItem.Masterpiece:	Congratulazioni, hai creato un capolavoro !
AbstractCraftingSkill.BuildCraftedItem.Successfully:	Hai creato con successo il {0}! ({1})
AbstractCraftingSkill.CheckRawMaterial.NoIngredients:	Non hai gli ingredienti per creare il {0}.
AbstractCraftingSkill.CheckRawMaterial.YouAreMissing:	Ti mancano :

AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoClothworkingSkill:		Non hai l'abilita' minima necessaria in Clothworking ({0}) per creare il {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoLeathercraftingSkill:	Non hai l'abilita' minima necessaria in Leathercrafting ({0}) per creare il {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoMetalworkingSkill:		Non hai l'abilita' minima necessaria in Metalworking ({0}) per creare il {1}!
AbstractCraftingSkill.CheckSecondCraftingSkillRequirement.NoWoodworkingSkill:		Non hai l'abilita' minima necessaria in Woodworking ({0}) per creare il {1}!

AbstractCraftingSkill.CraftItem.BeginWork:		Cominci a lavorare sul {0} ({1}%).
AbstractCraftingSkill.CraftItem.ChanceToGainPoint:	La probabilita' di ottenere un punto nella tua abilita' primaria di craft e' {0}%.
AbstractCraftingSkill.CraftItem.CurrentlyMaking:	Lavorazione in corso: {0}
AbstractCraftingSkill.CraftItem.MoveAndInterrupt:	Ti muovi e interrompi la lavorazione.
AbstractCraftingSkill.CraftItem.StopWork:		Interrompi la lavorazione corrente.
AbstractCraftingSkill.LooseRawMaterial.Count:		Hai perso ({0}) {1}.
AbstractCraftingSkill.LooseRawMaterial.Materials:	Non sei riuscito a creare il {0}, e hai perso qualche materiale!
AbstractCraftingSkill.MakeItem.LoseNoMaterials:		Non sei riuscito a creare il {0} ma non hai perso alcun materiale!
AbstractCraftingSkill.MakeItem.NotAllMaterials:		Non hai tutte le materie prime per creare questo oggetto.

# GAMELIVING
GameLiving.ReceiveItem:					{0} non vuole questo oggetto!
GameLiving.ReceiveMoney:				{0} non vuole i tuoi soldi!

# GAMEMERCHANT
GameMerchant.GetExamineMessages.BuyItemsFor:		{0} dice, "Puoi comprare questi oggetti per {1}."
GameMerchant.GetExamineMessages.Nothing:		niente
GameMerchant.GetExamineMessages.RightClick:		[Clicca col pulsante destro per visualizzare gli articoli]
GameMerchant.GetExamineMessages.YouExamine:		Esamini {0}. {1} e' {2} ed e' un mercante.
GameMerchant.OnPlayerAppraise.Offers:			{0} ti offre {1} per {2}.
GameMerchant.OnPlayerBuy.Bought:			Hai comprato {0} per {1}.
GameMerchant.OnPlayerBuy.Bought2:			Hai comprato {0} per {1} {2}.
GameMerchant.OnPlayerBuy.BoughtBP:			Hai comprato {0} per {1} BPs.
GameMerchant.OnPlayerBuy.BoughtPieces:			Hai comprato {0} pieces of {1} per {2}.
GameMerchant.OnPlayerBuy.BoughtPieces2:			Hai comprato {0} pieces of {1} per {2} {3}.
GameMerchant.OnPlayerBuy.BoughtPiecesBP:		Hai comprato {0} pieces of {1} per {0} BPs.
GameMerchant.OnPlayerBuy.NotInventorySpace:		Non hai abbastanza spazio nell'inventario per comprare questo oggetto.
GameMerchant.OnPlayerBuy.YouNeed:			Hai bisogno di {0} per comprare questo oggetto.
GameMerchant.OnPlayerBuy.YouNeed2:			Hai bisogno di {0} {1} per comprare questo oggetto.
GameMerchant.OnPlayerBuy.YouNeedBP:			Hai bisogno di {0} BPs per comprare questo oggetto.
GameMerchant.OnPlayerSell.CantBeSold:			Questo oggetto non puo' essere venduto.
GameMerchant.OnPlayerSell.GivesYou:			{0} ti da' {1} per {2}.
GameMerchant.OnPlayerSell.IsntInterested:		{0} non e' interessato a {1}.
GameMerchant.OnPlayerSell.TooFarAway:			{0} e' troppo lontano!

# GAMENPC
GameNPC.GetAggroLevelString.Aggressive1:		aggressivo
GameNPC.GetAggroLevelString.Aggressive2:		Aggressivo
GameNPC.GetAggroLevelString.Friendly1:			amichevole
GameNPC.GetAggroLevelString.Friendly2:			Amichevole
GameNPC.GetAggroLevelString.Hostile1:			ostile
GameNPC.GetAggroLevelString.Hostile2:			Ostile
GameNPC.GetAggroLevelString.Neutral1:			neutrale
GameNPC.GetAggroLevelString.Neutral2:			Neutrale
GameNPC.GetAggroLevelString.TowardsYou:			{0} verso di te
GameNPC.GetExamineMessages.YouExamine:			Esamini {0}. {1} e' {2}.


# GAMEOBJECT
GameObject.GetExamineMessages.YouTarget:		Selezioni [{0}].
GameObject.GetName.Article1:				Il {0}
GameObject.GetName.Article2:				il {0}
GameObject.GetName.Article3:				Un {0}
GameObject.GetName.Article4:				un {0}
GameObject.GetName.Article5:				Un {0}
GameObject.GetName.Article6:				un {0}
GameObject.GetPronoun.Pronoun1:				Esso
GameObject.GetPronoun.Pronoun2:				esso
GameObject.GetPronoun.Pronoun3:				Il suo
GameObject.GetPronoun.Pronoun4:				il suo
GameObject.GetPronoun.Pronoun5:				Esso
GameObject.GetPronoun.Pronoun6:				esso
GameObject.Interact.TooFarAway:				Sei troppo lontano per interagire con {0}.

# GAMEPLAYER
GamePlayer.AddAbility.YouLearn:				Impari l'abilita' {0} !
GamePlayer.AddSpecialisation.YouLearn:		Impari lo stile {0} !
GamePlayer.AddSpellLine.YouLearn:			Impari gli incantesimi {0} !
GamePlayer.ApplyPoison.CantApplyRecentCombat:	Sei stato in combattimento di recente e non puoi ancora applicare veleni!
GamePlayer.ApplyPoison.CantPoisonWeapon:	Non puoi avvelenare quest'arma!
GamePlayer.ApplyPoison.CantUsePoison:		Non puoi usare questo veleno.
GamePlayer.ApplyPoison.CantUsePoisons:		Non puoi usare veleni.
GamePlayer.ApplyPoison.PoisonsAppliedWeapons:	I veleni possono essere usati solamente sulle armi.
GamePlayer.Attack.AlreadyDead:				{0} e' gia' morto!
GamePlayer.Attack.Blocked:					{0} blocca il tuo attacco!
GamePlayer.Attack.CantBeAttacked:			Non puo' essere attaccato!
GamePlayer.Attack.CantCritical:				Non puoi effettuare un colpo critico su questo bersaglio, cambi la modalita' in colpo normale.
GamePlayer.Attack.CantSeeTarget:			Non riesci a vedere il tuo bersaglio!
GamePlayer.Attack.CantUseQuiver:			Non puoi usare i colpi nella tua faretra con l'arma che stai usando!
GamePlayer.Attack.CouldRepair:				Il tuo {0} puo' usare riparazioni.
GamePlayer.Attack.Critical:					Colpisci criticamente di {0} per un danno addizionale di {1} !
GamePlayer.Attack.Evade:					{0} ti attacca e schivi il colpo!
GamePlayer.Attack.Evaded:					{0} schiva il tuo colpo!
GamePlayer.Attack.Fumble:					Sbagli l'attacco e prendi tempo per recuperare!
GamePlayer.Attack.Fumbled:					{0} annaspa!
GamePlayer.Attack.HitsYour:					{0} ti colpisce {1} per un danno di {2}{3} !
GamePlayer.Attack.HitsYou:					{0} ti colpisce per un danno di {1}{2} !
GamePlayer.Attack.HitsYouCritical:			{0} ti colpisce criticamente per un danno di {1} !
GamePlayer.Attack.InterceptHit:				{0} {1}{2} e colpisce per un danno di {3}{4} !
GamePlayer.Attack.Intercepted:				{0} si mette di fronte a {1} e intercetta il colpo!
GamePlayer.Attack.InterceptedHit:			{0} {1}{2} ma colpisce {3} per un danno di {4}{5} !
GamePlayer.Attack.Interrupted:				{0} ti sta attacando e il tuo {1} viene interrotto!
GamePlayer.Attack.Location.Torso:			il torso
GamePlayer.Attack.Location.Arm:				le braccia
GamePlayer.Attack.Location.Head:			la testa
GamePlayer.Attack.Location.Leg:				le gambe
GamePlayer.Attack.Location.Hand:			le mani
GamePlayer.Attack.Location.Foot:			i piedi
GamePlayer.Attack.Miss:						Manchi il colpo!
GamePlayer.Attack.Missed:					{0} ti attacca e ti manca!
GamePlayer.Attack.MustSelectQuiver:			Devi selezionare lo slot della faretra da usare!
GamePlayer.Attack.NeedRepair:				{0} ha bisogno di riparazioni.
GamePlayer.Attack.NeedRepairDire:			{0} ha veramente bisogno di riparazioni.
GamePlayer.Attack.NeedTarget:				Devi selezionare un bersaglio da attaccare!
GamePlayer.Attack.NotInView:				{0} non e' in vista!
GamePlayer.Attack.Parried:					{0} para il tuo attacco!
GamePlayer.Attack.Parry:					{0} ti attacca e tu pari il colpo!
GamePlayer.Attack.ReadyToFire:				Sei pronto a colpire!
GamePlayer.Attack.StrafMiss:				Ti stavi spostando lateralmente in combattimento e hai mancato!
GamePlayer.Attack.TooFarAway:				{0} e' troppo lontano per essere attaccato!
GamePlayer.Attack.TooTired:					Sei troppo stanco per continuare a trattenere il colpo!
GamePlayer.Attack.Type.Shot:				colpisci
GamePlayer.Attack.Type.Throw:				lanci
GamePlayer.Attack.WithYour:					con il tuo
GamePlayer.Attack.YouAttack:				Attacchi
GamePlayer.Attack.YouShot:					Colpisci		
GamePlayer.Bind.LastBindPoint:				Ultimo punto di rinascita : {0}.
GamePlayer.Bind.CantBindDead:				Non puoi impostare un punto di rinascita quando sei morto!
GamePlayer.Bind.MustWait:					Devi aspettare {0} secondi per poter impostare un nuovo punto di rinascita!
GamePlayer.Bind.Bound:						Hai impostato il tuo punto di rinascita in questo luogo.
GamePlayer.Bind.CantHere:					Non puoi impostare un punto di rinascita in questo luogo!
GamePlayer.CastSpell.CantCastStunned:		Non puoi lanciare incantesimi quando sei bloccato!
GamePlayer.CastSpell.CantCastMezzed:		Non puoi lanciare incantesimi quando sei incantato!
GamePlayer.CastSpell.AlreadyPlaySong:		Stai gia' suonando una canzone!
GamePlayer.CastSpell.AlreadyCastFollow:		Stai gia' lanciando un incantesimo! Prepari questo incantesimo come seguente!
GamePlayer.CastSpell.AlreadyCastNoQueue:	Stai gia' lanciando un incantesimo, per abilitare la successione di incantesimi digita '/noqueue'!
